文件ID,CV质量10分，音声10分（20分）,DL号|社团|作者,FB,UC,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,内容cg丰富度（15分）,创建时间,剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,备注,夸克,封面,引擎,排雷 评价,搜索,攻略,更新日志,最后修改时间,游戏名大小,游戏性|玩法，好不好玩？（15分）,版本及更新时间等,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,百度,类型,视频,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",迅雷,预览
BAYJACT195,10,RJ01569452,"KLW, LW, XH",https://drive.uc.cn/s/0d0ffae86ec74?public=1,,5,2026年6月14日 19:23,15+5,,,,,职场30天同社团作品，算是小精品，玩法类似元气骑士，不过是单线。剧情清晰不无脑，完整闭环好评推荐，CG画风很棒，可惜动态只有像素，不够涩。,[PC/ACT/像素/动态]被囚禁的莉莉 囚われのリリ Captive Lili官中+存档[470M],,"发售日：2026年06月14日0时

游戏介绍
像素动画 × 射击动作 × 暗黑奇幻。
在地下牢笼中醒来的主人公，遇到了一位被囚禁的少女。
两人为了逃出地下牢笼而一同行动。
途中会遇到各种各样的女主角，随着故事的推进，地下牢笼中隐藏的秘密也将逐步被揭开。

游戏系统
一边攻略由总计9层构成的地下牢笼，一边手持武器击倒敌人，朝着出口前进。
前方有强大的BOSS严阵以待，切不可掉以轻心。

各阶层之间存在着作为安全区域的""安全屋""。
在这里，你可以在商店购买新的武器，或者强化武器部件来提升战斗力。

H场景
在地下牢笼中治愈你受伤身体的，是那些在安全屋里等待着的女主角们。
随着探索的深入，新的女主角和H场景会陆续解锁。

通过加深与女主角们的关系，可以习得对战斗有帮助的特殊技能。
用快感换取力量，挑战这个残酷的地下牢笼吧！
",2026年6月17日 23:54,被囚禁的莉莉 囚われのリリ Captive Lili官中+存档[470M],10,https://pan.baidu.com/s/1a3uWxaVp-LHiPZTFd8jwWg 提取码: 7wgh,20,https://pan.baidu.com/s/1na1ta-tAJP_1hDy33RAqAg?pwd=5zhe,[PC/ACT/像素/动态],进行中,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 65,https://pan.xunlei.com/s/VOv5ScT7VBecvcyGmPowGm3vA1?pwd=mds3#,https://pic.moebox.io/album/A195.X08zJ
BAYJACT196,,,"KLW, LW, XH",https://drive.uc.cn/s/0ba0d280f7b94?public=1,,,2026年6月14日 19:36,,,,,,,[PC/ACT/动态/CV]淫欲战士 Warrior of Lust v1.0.1 官中步兵+存档[3.7G],,"2026-06-13
Steam 版本 1.0.1
- 修复了在营地进行存档/读档导致游戏卡死的问题
- 大幅压缩了部分文件以减少内存占用，希望这能减少因“内存不足”错误导致的崩溃。我们将继续进行优化。
- 新增 5 种卡洛特 H 抓取动作和 10 种史莱姆女孩 H 抓取动作

Steam发行日期:
2026 年 6 月 12 日

游戏简介：
你是一名久经沙场的雇佣兵，暗中鄙视着你所效命的腐败国王。
在你凭一己之力扭转了一场残酷战争的局势后，国王赐予你尊贵的骑士头衔……但你却向他唾面拒绝。
你的反抗激怒了娇生惯养、任性刁蛮的公主佐菲娅，她密谋向你复仇，并迫使你踏上一段充满淫欲的史诗冒险。",2026年6月17日 01:15,银欲战士 Warrior of Lust v1.0.1 官中步兵+存档[3.7G],,https://pan.baidu.com/s/12SH96sBJKXo8ayGMwTDf1w 提取码: gb7x,,https://pan.baidu.com/s/1-7omo_Vi-S42rs2ngPZCKA?pwd=i6rx,[PC/ACT/动态/CV],未开始,,,https://pan.xunlei.com/s/VOv625jO-rc2jL9BgIMOgyclA1?pwd=cty4#,https://pic.moebox.io/album/A196.X0Ojh
BAYJRPG203 (3),5,,"KLW, XH",https://drive.uc.cn/s/7f37611fb0ae4?public=1,5,10,2026年6月15日 18:01,25,"在房间睡觉的时候可进入CG屋
下载带双的是双端内嵌汉化",,,,画风立绘好评，画面细节，丝滑动态CG好评，人物丰富量大种类多好评,[PC+安卓/RPG/步兵/动态]我的乡村日常生活 Daily Lives of MyCountryside v0.3.5 AI内嵌汉化+作弊画廊+存档 [3.46G],,"v0.3.5
新内容：
- 杜伊剧情进展（约5个场景）
- 部分事件在互动时可能会因预加载而出现轻微延迟。我们将在未来的更新中继续优化此问题。

v0.3.4.3
错误修复：
- 玛丽娜的战斗地图上的错误
- 杜克的场景，预加载错误
- 原版仍卡在完整版上

v0.3.4
存档文件兼容性：
– 为了保持兼容性，只需将旧版本的存档文件夹复制并粘贴到新版本的 www 文件夹中即可。
游戏提示：
– 在游戏中，你可以使用手机访问角色可用的事件或场景信息。手机可以在关键物品栏目中找到，或者按键盘上的“P”键。
– 如果声音太低，可以尝试启用响度均衡，效果非常好。",2026年6月17日 02:32,我的乡村日常生活 Daily Lives of MyCountryside v0.3.5 AI内嵌汉化+作弊画廊+存档 [2.66/2.02G],5,X,25,https://pan.baidu.com/s/1vy361XiIgztz0Jsh6W9R9Q?pwd=cm6v,[PC+安卓/RPG/步兵/动态],未开始,SS精品，绝对值得品鉴,SS 75,https://pan.xunlei.com/s/VOu7d7s0l-K1AUfIklg_IgEqA1?pwd=nkhb#,https://pic.moebox.io/album/RPG203.XYAaO
BAYJSLG425 (3),,,"KLW, LW, XH",https://drive.uc.cn/s/e7ab54404b314?public=1,,,2026年6月16日 23:15,,,,,,,"[PC/SLG/NTL/动态/新作]报复：拿下老板的妻子、姐妹和母亲 SPITE: Taking the Boss's Wife, Sister and Mother V1.5.1官中步兵版带全回想[940M]",,"1.5.0 版本更新公告
 – 新增 H 场景！
1. 为完美结局新增了后宫 H 场景。
2. 为尹静妍新增了一个 H 场景。
3. 添加了法语和越南语翻译。
4. 修复了若干 Bug。

Version 1.4.0 更新公告 – 新增 H 场景！
更新内容：
1. 更换了核心引擎。这应该能彻底解决一部分玩家遇到的“游戏无法启动”或运行异常问题。
2. Steam Overlay 现在应该可以正常使用了。
3. 新增崔慧兰“叫妈妈”结局的 H 场景。
4. 优化了部分语言的翻译。
5. 修复了一些 bug。

故事介绍
在课堂上，老师曾称你为“蓝虎”——丛林之王传说中的稀有变种。
然而，并非所有年少出众的人都能成就大业，成年后的你也面临着“毕业即失业”的窘境。好在你有一位给知名房地产商李家担任终身保姆的母亲，在她的帮助下，你进入了知名的房地产商李家的企业李氏财团工作。而此时李氏财团的掌权者，正是你儿时在李家生活过一段时间、曾经与你亲如兄弟的李承昊。
母亲突患重病，你向多年不见的李承昊寻求帮助，没想到他却冷眼相向。他让你住进母亲曾住过的杂物间替他照看爱犬，并让你等他一个月出差回来后再说。
当你踏入占地数千平米的李家大宅后才发现，母亲曾经居住的地方，竟然是一个高度仅 1.5 米、让人无法直立的囚笼。
李承昊不知道的是，猛兽即使被关进笼子，也绝不会变成一条狗。
你有一个月的时间。
从这间屈辱的杂物间开始，一步步走向李家的一楼、二楼，进入李承昊妹妹、老婆、老妈的房间。用你的大棒征服他的至亲，接管李承昊的人生。故事中有6位女主角。动画H场景。各种小游戏。",2026年6月21日 04:01,"报复：拿下老板的妻子、姐妹和母亲 SPITE: Taking the Boss's Wife, Sister and Mother V1.5.1官中步兵版带全回想[800M]",,https://pan.baidu.com/s/12ySY_NbbGXjkLR0ccwwbqA?pwd=nnir,,"https://pan.baidu.com/s/1rAOThUQBvAnk8jdoRxQntw?pwd=nh58

https://pan.baidu.com/s/1q_cHQStvmlOLVyd2D-M2Xg",[PC/SLG/NTL/动态],未开始,,,"https://pan.xunlei.com/s/VOtPFryMcr0U92PbAr5_DWz7A1?pwd=6cbd#
",https://pic.moebox.io/album/SLG425.XqcPO
BAYJACT197,,,,,,,2026年6月17日 04:18,,,,,,,[PC/ACT/官中]不死少女的赛博革命 Immortal Joan: Cyber Revolution [100M],,"Steam发行日期:
2026 年 6 月 15 日

这是一款2D、像素风、横版、射击、解谜和闯关类游戏，玩家需要与NPC互动获得关键道具，击倒敌人拾取武器，最终完成任务列表通关，玩家的行为会触发不同的剧情分支，比如被敌人击败会触发独特的战败剧情。

208X年，合众国的政治到教育、医疗、文化以及军事都由一个叫US集团的巨型公司垄断和控制，直到一些事情的发生，合众国首都顿城的民众决定发动革命来推翻公司的统治，他们成功占领的顿城并宣布成立新政府，但公司不会对此坐视不管，真正的斗争才刚刚开始。

玩家将扮演“梅琪”，一个拥有不死能力的超能力少女，潜入US集团名下的海上赌场，为新政府窃取与公司有关的人员名单，以帮助革命军扫除公司残留在顿城的势力。

这艘海上赌场有着US集团的武装人员保护，你可以选择让梅琪伪装成船上的服务员，通过潜入的方式慢慢接近你的任务目标，或者使用找到的武器进行正面战斗。作为不死人的梅琪并不会在战斗中被杀死，但如果受伤过重会暂时失去行动能力，此时梅琪将面临被抓捕并监禁的风险，但这并不意味着游戏结束，即使战败，玩家依旧可以通过多种不同的方式达成任务的目的并最终撤离。

以上并非本游戏计划中的全部内容，您的购买将支持我们继续开发游戏的后续章节，我们计划制作共计7个关卡和一张开放地图，目前已有内容为其中的第一个关卡，后续关卡将包括：更多剧情、更多的场景、敌人、NPC、可操控角色，以及更多玩法机制。我们期望最终能将合众国革命的完整历史展现在玩家面前，以及以梅琪的视角体验更多与公司抗争的过程。",2026年6月17日 04:33,,,,,,,未开始,,,,
BAYJSLG365 (6),,,"LW, XH",https://drive.uc.cn/s/651897d68aab4?public=1,,,2026年6月17日 17:29,,"用School Story.html启动，guide指南里有人物当前攻略，Player_Guide.html有完整攻略
用浏览器汉翻译玩足够了，基本没问题
下过之前版本的只用下新版本补丁然后覆盖旧版就行，没下过都下然后用新版覆盖旧版",,,,"类似亚洲之子，角色不少，质量还挺高，汉化用浏览器自带翻译玩的，基本没问题用School Story.html启动，页面右边会附带当前人物攻略，也有全人物攻略

",[PC/亚洲风/真人/互动SLG/动态/HTML]学校故事/学校の物语Gakko No Monogatari – School Story V0.36 浏览器翻译+攻略+存档[35G],旧版覆盖新版应该就可以更新了，index启动，浏览器翻译,"v0.36 更新日志
新角色：椎名夕日
由奈的17岁女儿。高一，广播社成员。她一直默默地记录着母亲与男主之间的婚外情。

- 夕日 0 — 首次在家中接触；她的房间里，戴着耳机，录音机始终处于开启状态。
- 夕日对质 — 包含7个分支的决策链，她就由奈一事质问主角。她不会揭发，而是进行谈判。
- 夕日对质（仅观看） — 当天在书桌前预先拒绝（“我们约定是明天”）。
- 夕日 1–6 — 六段性爱场景，分别发生在她的卧室、广播社、公寓沙发、榻榻米房、教室及储物间。包含内射与体外射精两种结局。
- 夕辉指南页面 + 侧边栏人物简介 + 攻略提示。

尤娜新内容：9–12（真相揭露后篇章）
在“夕辉 4”结尾，尤娜目睹了夕辉与主角在一起的场景。她没有干预——她转身离开，随后这段婚外情在“心照不宣”的氛围中继续发展。

- 由奈 9 —— 发现真相后的对峙，从厨房餐桌延伸至卧室（内射）。
- 由奈 10 —— 清晨厨房场景，无插入式性爱 + 吞精。
- 尤娜 11 — 厨房场景；若 $yuna_event ≥ 12，则强制从《夕阳4》跳转至此。
- 尤娜 12 — 多场景家庭欢庆，附带微观解剖学后续。

尤娜公寓重建
- 转换为图像地图导航。
- 厨房现为枢纽（此前为客厅）。
- 新增夕阳的卧室作为独立场景。
- 尤娜茶室占位符。
- 所有原有场景触发器均予以保留。

尤娜对话重写
- 将121段现有尤娜对话重写为当前写作标准（三段式散文、语体转换、环境参与）。
- 为保持剧情连贯性，新增8段后续场景对话。


v0.35
新住宿地点：心之家（浅野与惠里）
新增3个浅野场景
惠里剧情线：新增6个场景
新增引导系统
对雷姆、纱江子、朱莉娅、梨理子等角色的对话和叙述进行了大幅重写
v0.34
浅野剧情进展（7个新场景）
新校舍区域：课外活动
UI调整与改版：顶部栏和左侧栏简化
介绍Meguri（浅野的母亲）
浅野转学至铃兰高中
v0.33
Eimi/Hashihime的故事进展
新地点可访问：理发店/温泉
新角色：Washio Mei
与Hashihime的4个新场景
与Washio Mei的3个新场景
v0.32
你现在可以和Remu一起探索京都
京都现在可供探索
桥姬（河之女神）介绍
与Remu在京都的6个新场景
v0.31
新角色：TikTok明星二阶堂梦
梦应该是早期可以互动的角色。没有硬性要求，比如自信心或学校成绩
8个梦新场景
新派玩法：你现在可以在诊所休息恢复体力，无需先倒下
新派玩法：男厕所尿尿的新机制
新的交通方式：现在你可以用火车探索东京，这将用于未来的奇汉内容（梦是第一个能在火车上互动的NPC）。火车系统本应取代主地图，增加沉浸式导航，但我会保留现有的地图和街道导航，因为那里仍有一些互动需要（三上由亚深夜通话，甚至触发光约会）。

游戏简介：
你是一名来自农村的高中学长，搬到东京与你的阿姨和表兄弟姐妹住在一起。
您的目标是进入日本顶尖大学，这意味着就读日本最负盛名的高中铃兰高中。
一路上，你会遇到美丽的同学，与美丽的老师交往，并适应与大家庭的生活。
您的目标是勤奋学习并实现进入顶尖大学的毕生梦想。",2026年6月19日 01:42,学校故事/学校の物语Gakko No Monogatari – School Story V0.36 浏览器汉化+攻略+存档[30G],,"https://pan.baidu.com/s/1UCkt6pr_vVf7k_ock5cbIg?pwd=fxza
",,https://pan.baidu.com/s/1g8_EYvtomWld2oIx5-XgWw?pwd=79m8,[PC/亚洲风/真人/互动SLG/动态/HTML],未开始,,,https://pan.xunlei.com/s/VOoVoPiDAjV1C-Oax7dNDzwIA1?pwd=mb87,https://pic.moebox.io/album/SLG365.X9Wvq
BAYJSLG400 (2),,,"KLW, XH",https://drive.uc.cn/s/dffba92e705f4?public=1,,,2026年6月18日 02:02,,,https://pan.quark.cn/s/33c33ab666da,,,网上说说得了，现实里谁不想试试天与咒福,[PC+安卓/SLG/同人]咒术训练师 Jujutsu Trainer v0.23 AI汉化版[922M],,"v0.23 咖啡厅活动
新咖啡厅活动：与梅卡丸聊天及梅梅的招募
新咖啡厅活动：与美和商量该怎么做
需购买水手服
商店与道具更新
修复了商店系统
部分道具现仅在特定活动后才会出现
新增道具：水手服
新增“赠送水手服”选项
S活动
新S级商店活动：美美——仅限资金
乳交
团体活动
新S级美和活动：女学生自慰
角色立绘与美术
新增美和水手服立绘
新增美和水手服地图立绘
新增美美裸体立绘
新增美和表情
其他改进
优化了美和路线的活动流程
更新了商店中道具的解锁条件
新增了基于服装的进度要求
v0.22
本版本为角色阵容增添了两位新成员，开启了三和的故事线，并带来了更多值得探索的内容。全新事件、新动画以及一些期待已久的更新终于登场。
本次更新更侧重于剧情和角色互动。以下是本次更新的具体内容。

新角色
• 天禅 – 新增角色
• 机械丸 – 新增角色

新角色立绘
• 新增天禅立绘
• 新增机械丸立绘

新界面
• 新增莉卡界面
• 新增莉卡按钮 – 在主地图中随时触发她的剧情！

剧情事件
• 莉卡事件——亚希与天禅的训练
• 将15包药粉交给美美以继续剧情

教室
• 教室事件——美和与美美：她需要一个帮手
• 教室事件——机械丸的自我介绍：

咖啡馆
• 咖啡馆事件——机械丸只想聊聊近况，而美和则向他征求意见

商店
• 商店事件——美和接受（色气）
新动画与训练
• S级训练——真希手交（新训练及动画）
• N级口交内衣——野原（动画）
• 野原裸体手交（动画）

修复与体验优化
• 修复了阿库的角色立绘
• 锁定了真希的展示
• 角色的内心独白现以蓝色显示

http://xn--deepl-3w3pes.com/（免费版）翻译",2026年6月20日 05:37,咒术训练师 Jujutsu Trainer v0.23 AI汉化版+全画廊[800M],,https://pan.baidu.com/s/1x8283m9VOQA9g2elWXNLqA 提取码:js1c,,https://pan.baidu.com/s/1k03wrGVQnVYYL8T_mEdC_g?pwd=1pye,[PC+安卓/SLG/同人],未开始,,,https://pan.xunlei.com/s/VOrtM4avcf4NFoj48QZyVkb5A1?pwd=2hdf#,https://pic.moebox.io/album/SLG400.Xdj3N
BAYJSLG443,,,"KLW, LW, XH",https://drive.uc.cn/s/bb6dee1897de4?public=1,,,2026年6月19日 00:22,,进去按ESC设置改中文,https://pan.quark.cn/s/1741c1158121,,,三消没啥好说的，可以跳过好评，画风CG还是很顶的,[PC/SLG/官中/动态]契约女友的淫爱体验III 契約彼女の淫愛体験III+存档[3.6G],,"发售日：2026年04月25日
角色介绍
姐姐·夏美（なつみ）cv：壹崎koharu
气场全开的抖S御姐类型。夏美出现的时候，总是伴随着压倒性的存在感。她充满自信、耀眼夺目、积极且直率。偶尔展露出的嫉妒神情，反而会让你的心跳愈发剧烈。

妹妹·里香（りか）cv：天音羽乃
害羞内向、偷偷注视着你的花店少女。从花店初次相遇时那场“偶然”的慌乱，到雨夜小屋里无言依偎的温暖时光。她总是偷偷地凝视着你，眼眸中满溢着无法言说的情愫。

菜穗（なほ）cv：不死身田元气
活力满满的游泳教练。开朗阳光的菜穗教练，总能用那灿烂的笑容活跃全场气氛。她对你的好感与亲近，从来都不会掩饰。

露亚（るあ）cv：れんさん
带着阴郁气质的病娇跟踪狂街头画家。在街角相遇的露亚，是一位眼中只有画笔和你的、专注力极高的小小画家。她那执着的视线以及静静悄然逼近的距离感，让人不禁去想象，她的笔尖此刻究竟在描绘着关于你的什么故事。

关于部分AI使用的说明
游戏内部分场景的背景使用了AI生成。",2026年6月28日 18:55,契约女友的Y爱体验III 契約彼女のY愛体験III+存档[3.6G],,https://pan.baidu.com/s/1NosEEHHiwOfxQqktiVo1bQ 提取码:5305,,https://pan.baidu.com/s/1eLSf6izdrHhGEDYJCqJqvw?pwd=s8yw,[PC/SLG/官中/动态],未开始,,,https://pan.xunlei.com/s/VOvQjxLzi9rQvugBPX6PTMEtA1?pwd=cgve#,https://pic.moebox.io/album/S443.X0cPw
BAYJSLG444,10,,"KLW, LW, XH",https://drive.uc.cn/s/f8456e534d704?public=1,,15,2026年6月19日 01:23,25,,https://pan.quark.cn/s/3286a761983a,,,,[PC/互动SLG/动态/CV] 调教女警 - 无尽堕落的深渊 The Endless Abyss: A Busty Cop’s Corrupted Soul v1.0.8官中步兵带全CG [8.8G],,"故事：深陷腐败之网
苍龙社正遭受打击，他们交易的那种神秘物质——一种以引发强烈、持久性欲而闻名的药物——不见了。当怀疑落到这位坚定的警官吴梓萱身上时，该组织决定亲自出手。绑架这位警官成了在组织老大们要求最终清算之前，查明真相并追回丢失的违禁品的唯一途径。
角色、腐败与阴谋
• 吴梓萱：一位功勋卓著的警官，警队的“金花”。虽然她外表专业而坚强，但她与扣押物品的牵连暗示着她隐藏的议程，可能会揭开一个更大、更黑暗的阴谋。
• 苍龙社：一个危险的影子组织。作为玩家，你必须驾驭他们的绝境，利用高压手段确保丢失的货物被追回。
• “货物”：这种难以捉摸、高需求、高刺激性的违禁物质是整个故事的催化剂，驱动着警察与犯罪世界之间的冲突。
引人入胜的游戏机制
体验一款沉浸式的心理惊悚游戏，你的选择将决定这位警官和你犯罪事业的命运：
• 调查与审讯：系统地瓦解吴梓萱的心理防线。使用各种战术手段——包括欺骗、威胁和感官操纵——来提升她的“调教等级”并提取关键信息。
• 动态对话树：你的生存取决于你的对话选择。仔细阅读女警的反应；一步走错可能会让她反击，使你陷入不利境地。
• 多重结局：每个决定都有其后果。成功追回货物以确保胜利，或成为欺骗的受害者，导致你的组织彻底覆灭。
主要游戏特色
• 体验超过 50,000 字充满氛围感与悬念的深度叙事。
• 沉浸于 16 个高品质的 HCG 电影场景，包含超过 96 个视频角度和细致动作差异。
• 通过 3 种不同的游戏结局享受高重玩性，这些结局反映了你的调查能力。
• 引人入胜的犯罪悬疑游戏玩法，挑战你在压力下的操纵和生存能力。",2026年6月22日 02:52,TJ女警 - 无尽堕落的深渊 The Endless Abyss: A Busty Cop’s Corrupted Soul v1.0.8官中步兵带全CG [8.8G],5,"https://pan.baidu.com/s/1lDSVaML78iWMzEDbMzQ-9g 提取码:2mar
",25,https://pan.baidu.com/s/1OaKQCBfIvmXQVuASuj2cJA?pwd=cs8q,"[PC/SLG/动态/CV] ",未开始,SS精品，绝对值得品鉴,SS 80,https://pan.xunlei.com/s/VOvSSUF6rBMbI1d_JcCMXN6bA1?pwd=kee7#,https://pic.moebox.io/album/S444.X074G
BAYJRPG248,,,"KLW, LW, XH",https://drive.uc.cn/s/9141d5e43ce94?public=1,,,2026年6月19日 19:20,,安卓是1.02，也可以用模拟器玩PC v1.03,https://pan.quark.cn/s/9bd4ea1efcd7,,,怪兽公主同社团作品,[PC+安卓/动态/CV]希尔丝大冒险 ヒルズの冒険 The Adventures of HILLS v1.03官中步兵+存档[3.16G],,"■故事大纲
商业都市葛多拉，是一座以贸易闻名的新兴城市。
这几十年来，凭借着其繁荣活络的市场与特殊的地理位置，吸引了大陆上的许多人前来谋求财富。
然而，越来越严重的贫富差距不仅为这座城市带来犯罪问题，
也因为过多人口涌入了这座城市的缘故，使得治安迅速恶化。
繁荣的外表下掩盖着破败腐坏的一面。
少女们试图在夹缝中求生存，即使用尽任何办法，也不愿向命运低头......

■游戏玩法
操控女主角「希尔丝」在城市当中自由行动，与不同的人们互动来触发各式各样的事件吧！
你的选择将会决定后续的剧情发展，你是否能够在有限的时间内揭开隐藏在这座城市底下的黑暗真相，并成功化解逼近而来的危机呢！ ？
・小心满怀恶意的男人们！
人无贵贱之分，不论贫民还是贵族，谁都有可能在和善的外表下包藏祸心。
小心他们花言巧语的哄骗，一旦稍有大意就可能被色狼侵犯！
・在有限的时间内想办法突破困境！
希尔丝与她的伙伴们被卷入了一场巨大的阴谋之中。
一旦行踪泄漏被抓，她们就会遭到残酷的对待。
不忍女性遭到无情凌辱的人请别过头去！

■游戏特色
・可自由自在地探索一座名为葛多拉的城镇，并随剧情推进解锁各式各样的地点
・《米可可大冒险》同世界观续作，米可可与黏糊糊的触手们也会登场！
・精致的动态立绘＆动态CG
・包含多重结局的丰富故事剧情，希尔丝的未来将由你决定
***即便没有游玩过前作，也能充分享受作品的乐趣。

",2026年6月23日 00:19,希尔丝大冒险 ヒルズの冒険 The Adventures of HILLS v1.03官中步兵[3.16G],,https://pan.baidu.com/s/1mxTZm9E6qVs4ITNUkbePEA 提取码:131z,,https://pan.baidu.com/s/1pGJ4LVwj2VgwKwlgchTRtQ?pwd=fjnb,[PC+安卓/动态/CV],未开始,,,https://pan.xunlei.com/s/VOvVVYIGZRr6Asyx9hWldJFVA1?pwd=txc9#,https://pic.moebox.io/album/R248.X0FHB
BAYJSLG363 (3),,,"KLW, LW, XH",https://drive.uc.cn/s/e549f1f05a344?public=1,,,2026年6月19日 21:33,,点击【index.html】启动游戏,,,,,[PC/HTML/特殊癖好/步兵]海斯监狱 Heiss Ward Ver1.3浏览器翻译+全画廊[330M],,"【作品介绍】
你是全女性海斯军团的囚犯，逃跑的念头早已破灭。
你已经接受了自己作为永久仆人的生活，
存在的唯一目的就是被当作椅子、工具，或主人决定的其他任何东西。
v1.3
5 新场景。
（狱警3人，医生1人，卡斯特利亚1人）。
v1.2
4 新场景。
（3个西尔维尼亚场景和1个罗丝莉亚场景）。
v1.1
新增3个场景。
（2个为奥蕾莉亚，1个为卡斯蒂利亚）。
v1.0
新增4个场景。
（Roselia 2个，Aurelia 1个，Castelia 1个）。
全面重制了序章，使其更具电影感，并更好地阐释了世界观。
修复了一些轻微的视觉错误。
v0.9
新增Castelia场景。
新增Aurelia场景。
新增任务。
更新日志：
v0.7
新增角色 Aurelia
Bug 修复
新地点",2026年6月22日 04:13,海斯监狱 Heiss Ward Ver1.3浏览器翻译+全画廊[260M],,https://pan.baidu.com/s/18-YAoVl5HUjHrs3m3iO-Yg?pwd=x9is,,https://pan.baidu.com/s/11ycnuZu72CnS2oz9zU8AOA?pwd=a4xd,[PC/HTML/特殊癖好/步兵],未开始,,,https://pan.xunlei.com/s/VOn8ynVYaRMIeJJ9nTi0pBNXA1?pwd=z8iy#,https://pic.moebox.io/album/SLG363.Xcw8D
BAYJSLG435 (5),,RJ01363303,"KLW, LW, XH",https://drive.uc.cn/s/6f474c9409b64?public=1,,,2026年6月20日 05:38,,存档修改了数值，有两种存档，4天的是处，十几天的是经验丰富存档,https://pan.quark.cn/s/1c5323645467,,,,[PC/SLG/官中/动态]极道无赖EX:女警鮎川光--从处女蜕变为变态的分岔路  極道無頼EX:女警鮎川光--処女が変態に変わる分かれ道- v1.1.21 正式版+存档[2.3G/1.3G],,"Ver1.1.21 ？
Ver1.1.2
修复了部分战斗结束后进入H场景时会导致游戏卡死的问题。
新增了川岛佑介的全新H动作和HCG（此前因程序错误未能公开的内容）
第二次败给川岛佑介即可解锁。
修正了部分文本错误。
新增生理状态锁定功能，可隐藏发黑的乳房和私处。
修改了周回游玩继承机制，现在可以手动选择继承的内容。

1.11 功能预览
版本1.11的功能预览
调整为二周目可继承一周目所有属性与能力。
补充：若想通过力量训练获得更多经验值，臂力较量的持续时间至关重要，若过早结束则难以获得大量经验，请务必注意！
现已调整为可在非BOSS战中使用自动回避功能。对于不想通过QTE战胜的普通敌人，只需勾选自动回避选项，即可零伤害获胜。
补充：自动回避时仅显示“GOOD”的回避图标，不会出现“Perfect”图标。
这样应该能减轻连续进行QTE操作带来的疲劳感。
已在客户端文件夹内放置了所有角色的登场时间列表，请作为攻略和交流的参考。
之前一直采用让各位自行探索的旧方式，给各位带来不便，真的非常抱歉……。
二周目解锁冲刺模式，步行与奔跑速度大幅提升。
新增考试延期功能！考试当天会显示是否自动延期5天的选项，5天后重新统计时会再次确认，因此也可实现无限期延期。


现在，Ver 1.1.0 版本已经上传完毕。
在这个版本中，我们修复了失败后进入 H 场景时出现的文字乱码和操作故障问题。
此外，游戏中出现卡顿的多个环节也得到了修复。
今后，我们将进一步优化各项功能，之后再着手制作 DLC 内容。
今后我也会继续努力下去的，还请多多指教。

版本1.0.9
Ver1.0.9的上传已经完成，但由于评测时间尚不明确，我先写更新细节。
我几乎没怎么睡觉，修复了音频源相关的问题，还实现了跳过对话的功能。 另外，按住ESC键可以正确跳过对话动画，试试看吧。
1. 增加了对话表演跳过功能
2. 修复了英文文本的一个错误
3. 在雷明山被抓小便后修正战斗错误
4. 在运行时更改灯光快捷键
5. 修复了一个bug：在给濑户美香和由美子送礼物后，游戏会卡顿并失去互动性（现有存档可能仍有问题）
6. 修复了一个问题：离开家后相机放大率在放大状态下无法恢复。
7. 优化西班牙语版本的内容
8. 游戏根目录中包含名为[EX基础策略]的新手指南
9. 修复了多个bug，比如在多场战斗中冻结
10. 在活动过程中修复了多个SE错位问题
11. 修复了第二次通关时礼物无法重新出现的bug。
早期的教程，尤其是战斗解释，内容不够充分，导致许多玩家误解了内容...... 真的很抱歉给你带来不便......
你不必点击被敌人攻击时出现的圆圈内侧;当圆圈外的白色圆圈与圆圈内的白色圆圈重叠时，你可以像节奏游戏一样通过计时躲避，然后用空格键或鼠标左键点击。

包含丰富的成人要素：偷窥、野外小便、在案发现场自慰、偷窥NTR情节。

潜入那位与丈夫共同构建美满家庭的女士的家中，与她的丈夫暗中沉溺于淫乱的行为——

职业生涯的危机——也可以选择【潜规则】这条路。

形形色色的罪犯——令人无暇喘息的“过激”公务。

用快感来堕落吧，鲇川光！

「是、是黑人……！？」

",2026年6月23日 00:19,极道无赖EX:女警鮎川光--  極道無頼EX:女警鮎川光 v1.121 正式版+存档[2.3G/1.3G],,https://pan.baidu.com/s/1m5K-vYuKSNU64FFcPidS_w 提取码: eddr,,https://pan.baidu.com/s/1MVrS7WYYeURuqpRjg3p0Yg?pwd=c9hs,[PC/SLG/官中/动态],未开始,,,https://pan.xunlei.com/s/VOuIomwFOl1DiImoWhEiDYAAA1?pwd=c63v,https://pic.moebox.io/album/SLG435.XvNCa
